concept_id,english_query_summary,english_context_used,query_language,query_translated,source_language_filter,source_role_filter,retrieved_chinese_source_ids,retrieved_chunk_ids,gold_bearing_chunk_rank,retrieval_score,retrieval_score_observation,lexical_overlap,english_string_direct_hit,fixture_template_leakage,term_identification_mechanism,semantic_pairing_performed,selected_chinese_candidate_summary,selected_candidate_confidence,candidate_source_refs,candidate_chunk_refs,prepared_english_evidence_refs,prepared_chinese_evidence_refs,readiness_status,provider_ready,readiness_interpretation,included_in_denominator
physics-11,work,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|8d8413d6-70a0-4feb-98d4-0af7107be7d4,2,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,功是力在位移方向上转移能量的量,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,8d8413d6-70a0-4feb-98d4-0af7107be7d4,,8d8413d6-70a0-4feb-98d4-0af7107be7d4,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-12,power,False,en,False,zh,chinese_reference_material,chinese-mechanics,c42f7084-5deb-415a-8575-bd82acd9a003,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,功率是做功或能量转移的快慢,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,c42f7084-5deb-415a-8575-bd82acd9a003,,c42f7084-5deb-415a-8575-bd82acd9a003,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-13,mechanical energy,False,en,False,zh,chinese_reference_material,chinese-mechanics,61bd859b-4a70-46e0-b6ef-6b77ddc8d152|15120548-16de-4de2-a43e-cdeeeebfe436|807d900a-f617-4dc2-aa0c-6d8b8e272afd,1,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,机械能守恒定律适用于只有保守力做功的情形,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0|23cec898-65e4-4418-a0ed-6b6a9d12b3d0,61bd859b-4a70-46e0-b6ef-6b77ddc8d152|15120548-16de-4de2-a43e-cdeeeebfe436,,61bd859b-4a70-46e0-b6ef-6b77ddc8d152,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-14,conservation of momentum,False,en,False,zh,chinese_reference_material,chinese-mechanics,c5c43939-8c36-4377-9845-881ed3cd97fe|61bd859b-4a70-46e0-b6ef-6b77ddc8d152|807d900a-f617-4dc2-aa0c-6d8b8e272afd,1,0.97,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,动量守恒定律说明孤立系统总动量保持不变,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,c5c43939-8c36-4377-9845-881ed3cd97fe,,c5c43939-8c36-4377-9845-881ed3cd97fe,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-15,conservation of mechanical energy,False,en,False,zh,chinese_reference_material,chinese-mechanics,61bd859b-4a70-46e0-b6ef-6b77ddc8d152|c5c43939-8c36-4377-9845-881ed3cd97fe|15120548-16de-4de2-a43e-cdeeeebfe436,1,0.98,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,机械能守恒定律适用于只有保守力做功的情形,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,61bd859b-4a70-46e0-b6ef-6b77ddc8d152,,61bd859b-4a70-46e0-b6ef-6b77ddc8d152,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-16,uniform circular motion,False,en,False,zh,chinese_reference_material,chinese-mechanics,94adeef0-cb65-4e4e-9092-db27596cd0f8,1,0.97,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,匀速圆周运动是在圆周上速率不变但速度方向不断改变的运动,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,94adeef0-cb65-4e4e-9092-db27596cd0f8,,94adeef0-cb65-4e4e-9092-db27596cd0f8,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-17,centripetal force,False,en,False,zh,chinese_reference_material,chinese-mechanics,9d3b486d-3984-471c-aec4-1d803d625fc1|5abb012e-8243-4894-82e0-76742152becd,1,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,向心力是维持圆周运动所需的指向圆心的合力,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,9d3b486d-3984-471c-aec4-1d803d625fc1,,9d3b486d-3984-471c-aec4-1d803d625fc1,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-18,angular velocity,False,en,False,zh,chinese_reference_material,chinese-mechanics,762bd98e-5665-4842-a8b0-01ac4d536efd|807d900a-f617-4dc2-aa0c-6d8b8e272afd|8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3,1,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,角速度是角位置随时间变化的率,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,762bd98e-5665-4842-a8b0-01ac4d536efd,,762bd98e-5665-4842-a8b0-01ac4d536efd,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-19,angular momentum,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3|762bd98e-5665-4842-a8b0-01ac4d536efd,2,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,角动量描述转动运动,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3,,8e6d67c5-6adc-474c-99b7-5f9ea56aa7f3,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-20,torque,False,en,False,zh,chinese_reference_material,chinese-mechanics,807d900a-f617-4dc2-aa0c-6d8b8e272afd|d0f3973a-8674-43e2-a577-4d381cbd1ed8,2,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,力矩是力使物体绕轴转动的效应,0.81,23cec898-65e4-4418-a0ed-6b6a9d12b3d0,d0f3973a-8674-43e2-a577-4d381cbd1ed8,,d0f3973a-8674-43e2-a577-4d381cbd1ed8,evidence_insufficient,False,formal evidence preparation insufficient,True
physics-21,electric charge,False,en,False,zh,chinese_reference_material,chinese-electricity,72415cf8-460b-4d3f-b470-5b2fb8f234ce|8cb0e2cb-0eb7-43db-be36-54642f8fe7eb|68a933b8-c787-416e-beb4-d33d9ef2d464,2,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,电荷是物质产生电相互作用的属性,0.81,7e1bbb6d-b6a6-4d81-8ac1-8c5b45da7838,8cb0e2cb-0eb7-43db-be36-54642f8fe7eb,2deb8508-3fb2-484b-afe4-2ce150beefdb,8cb0e2cb-0eb7-43db-be36-54642f8fe7eb,prepared,True,governed EN/ZH evidence references present; semantic correctness unverified,True
physics-22,electric field,False,en,False,zh,chinese_reference_material,chinese-electricity,72415cf8-460b-4d3f-b470-5b2fb8f234ce|bbd4bc3d-ea51-4e56-aed3-c7851a73ca1d|68a933b8-c787-416e-beb4-d33d9ef2d464,2,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,电场表示单位正试探电荷在某点受到的力,0.81,7e1bbb6d-b6a6-4d81-8ac1-8c5b45da7838,bbd4bc3d-ea51-4e56-aed3-c7851a73ca1d,52867b76-8896-496f-9755-7a93e085e448|ba24c371-3590-4375-835f-8437ca176fe0,bbd4bc3d-ea51-4e56-aed3-c7851a73ca1d,prepared,True,governed EN/ZH evidence references present; semantic correctness unverified,True
physics-23,electric potential,False,en,False,zh,chinese_reference_material,chinese-electricity,72415cf8-460b-4d3f-b470-5b2fb8f234ce|68a933b8-c787-416e-beb4-d33d9ef2d464|0f882be2-0c53-4b40-a49d-0a75f251c2ed,2,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,电势是单位电荷在某点具有的电势能,0.81,7e1bbb6d-b6a6-4d81-8ac1-8c5b45da7838,68a933b8-c787-416e-beb4-d33d9ef2d464,8d68d9df-e009-4930-9ad5-5821d7185d49|96147f3c-fb89-4f20-af3e-488f23e5c183|ba24c371-3590-4375-835f-8437ca176fe0,68a933b8-c787-416e-beb4-d33d9ef2d464,prepared,True,governed EN/ZH evidence references present; semantic correctness unverified,True
physics-24,potential difference,False,en,False,zh,chinese_reference_material,chinese-electricity,72415cf8-460b-4d3f-b470-5b2fb8f234ce|0f882be2-0c53-4b40-a49d-0a75f251c2ed|68a933b8-c787-416e-beb4-d33d9ef2d464,2,0.96,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,电势差是两点电势的差值,0.81,7e1bbb6d-b6a6-4d81-8ac1-8c5b45da7838,0f882be2-0c53-4b40-a49d-0a75f251c2ed,8d68d9df-e009-4930-9ad5-5821d7185d49|ba24c371-3590-4375-835f-8437ca176fe0|e12b92b8-a0be-4a24-9c32-c97712b92e39,0f882be2-0c53-4b40-a49d-0a75f251c2ed,prepared,True,governed EN/ZH evidence references present; semantic correctness unverified,True
physics-25,capacitance,False,en,False,zh,chinese_reference_material,chinese-electricity,66a68ca6-fde2-46b3-8877-4ad92a4f5ed7,1,0.94,deterministically reconstructed from lexical-v1 scoring inputs; 12C.1 did not persist the score,exact English phrase embedded in Chinese fixture,True,True,inline_bilingual_regex,False,电容是单位电势差下储存的电荷量,0.81,7e1bbb6d-b6a6-4d81-8ac1-8c5b45da7838,66a68ca6-fde2-46b3-8877-4ad92a4f5ed7,e12b92b8-a0be-4a24-9c32-c97712b92e39,66a68ca6-fde2-46b3-8877-4ad92a4f5ed7,prepared,True,governed EN/ZH evidence references present; semantic correctness unverified,True
