concept_id,benchmark_status,source_term_present,parsed_text_term_present,chunk_term_present,exact_candidate_present,near_candidate_present,overlong_candidate_present,fragmented_candidate_present,normalization_status,binding_status,earliest_failure_stage,primary_attribution,secondary_observations,included_in_denominator
physics-11,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-12,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-13,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-14,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-15,BENCHMARK_SOURCE_VALID,True,True,True,False,True,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-16,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-17,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-18,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-19,BENCHMARK_SOURCE_VALID,True,True,True,False,True,True,True,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-20,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_boundary,CANDIDATE_BOUNDARY_DEFECT,formal_extraction_outcome=item_limit_exceeded|raw_candidate_count=63|canonical_candidate_count=55,True
physics-21,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_extraction,CANDIDATE_EXTRACTION_DEFECT,formal_extraction_outcome=extracted|raw_candidate_count=34|canonical_candidate_count=26,True
physics-22,BENCHMARK_SOURCE_VALID,True,True,True,False,False,False,False,no_normalized_match,missing,candidate_extraction,CANDIDATE_EXTRACTION_DEFECT,formal_extraction_outcome=extracted|raw_candidate_count=34|canonical_candidate_count=26,True
physics-23,BENCHMARK_SOURCE_VALID,True,True,True,True,True,True,False,normalized_match,matched,none,NO_DEFECT_MATCHED,formal_extraction_outcome=extracted|raw_candidate_count=34|canonical_candidate_count=26,True
physics-24,BENCHMARK_ALIAS_INCOMPLETE,True,True,True,True,False,False,False,normalized_match,matched,none,NO_DEFECT_MATCHED,formal_extraction_outcome=extracted|raw_candidate_count=34|canonical_candidate_count=26|source_contains_reasonable_voltage_alias,True
physics-25,BENCHMARK_SOURCE_VALID,True,True,True,True,False,False,False,normalized_match,matched,none,NO_DEFECT_MATCHED,formal_extraction_outcome=extracted|raw_candidate_count=34|canonical_candidate_count=26,True
