concept_id,english_candidate_id,english_normalized_term,gold_chinese_term,accepted_chinese_aliases,chinese_source_id,gold_term_in_source,gold_term_in_parsed_text,gold_term_in_chunk,retrieved_chunk_ids,gold_bearing_chunk_retrieval_rank,generated_chinese_candidate_ids,generated_candidate_source_ids,generated_candidate_chunk_ids,generated_candidate_summaries,candidate_confidences,exact_candidate_rank,alias_candidate_rank,selected_chinese_candidate,bilingual_pair_status,evidence_readiness_status,earliest_failure_stage,primary_attribution,secondary_observations,included_in_denominator
physics-11,9b5396869ac04dd3943bea58f4342227,work,功,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""0e9370bd-17bc-4540-b1fb-be41c1ca86b0""]",2,"[""c76a7b0a58544feecc7295fe""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""0e9370bd-17bc-4540-b1fb-be41c1ca86b0""]","[""功是力在位移方向上转移能量的量""]",[0.81],,,功是力在位移方向上转移能量的量,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-12,c7387b4285f1478ea2862f4156a957b0,power,功率,[],chinese-mechanics,True,True,True,"[""fd3034c5-f47d-4e1d-9eaf-ba089d19f878""]",1,"[""e26e502b979166607a50dfbc""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""fd3034c5-f47d-4e1d-9eaf-ba089d19f878""]","[""功率是做功或能量转移的快慢""]",[0.81],,,功率是做功或能量转移的快慢,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-13,e34d8e7cd08b446488a83041be10a5dc,mechanical energy,机械能,[],chinese-mechanics,True,True,True,"[""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""d1aefbcb-1bfe-429a-9897-0ff525d7dc7c"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c"",""73d1177f-babc-4b37-94b8-23ca4389717d""]",1,"[""3f7b10f06a215eaa81987051"",""ccadb416db21cad2363b22b4""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1"",""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""d1aefbcb-1bfe-429a-9897-0ff525d7dc7c""]","[""机械能守恒定律适用于只有保守力做功的情形"",""机械能是动能和势能的总和""]","[0.81,0.81]",,,机械能守恒定律适用于只有保守力做功的情形,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""multiple_equal_score_candidates"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-14,c7135750740e4002bbfe8a99c770e851,conservation of momentum,动量守恒定律,[],chinese-mechanics,True,True,True,"[""81913ef7-de44-4a44-9786-96c3d5230057"",""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""d825824f-49f7-4368-90b4-09b60005b9ff"",""3c4bd66f-66fa-49c9-973a-b7f7cd80aa8a""]",1,"[""626e461bc37cdb1cf78ec802""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""81913ef7-de44-4a44-9786-96c3d5230057""]","[""动量守恒定律说明孤立系统总动量保持不变""]",[0.81],,,动量守恒定律说明孤立系统总动量保持不变,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-15,3ceb0673d78d4982a579b7d086cb4ddb,conservation of mechanical energy,机械能守恒定律,[],chinese-mechanics,True,True,True,"[""6b9f498e-9302-4b4c-b532-8fd3ccfe8716"",""81913ef7-de44-4a44-9786-96c3d5230057"",""d1aefbcb-1bfe-429a-9897-0ff525d7dc7c"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c"",""73d1177f-babc-4b37-94b8-23ca4389717d""]",1,"[""b6d8384480e8ad8146c460b8""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""6b9f498e-9302-4b4c-b532-8fd3ccfe8716""]","[""机械能守恒定律适用于只有保守力做功的情形""]",[0.81],,,机械能守恒定律适用于只有保守力做功的情形,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-16,062349091ab749bab7306dfca7e01530,uniform circular motion,匀速圆周运动,[],chinese-mechanics,True,True,True,"[""fc60fffc-9cf2-4be9-af96-25e9fce4497c""]",1,"[""53b2262cd53f9d97c75a9201""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""fc60fffc-9cf2-4be9-af96-25e9fce4497c""]","[""匀速圆周运动是在圆周上速率不变但速度方向不断改变的运动""]",[0.81],,,匀速圆周运动是在圆周上速率不变但速度方向不断改变的运动,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-17,f12ecac251624041bf298ae49006cc60,centripetal force,向心力,[],chinese-mechanics,True,True,True,"[""7c6c87eb-0cb8-47a0-8f59-7cb5e2af5c8e"",""f8271e83-beae-4981-af0a-e1dd2a59c999""]",1,"[""777eaa14d78c7866896fca1a""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""7c6c87eb-0cb8-47a0-8f59-7cb5e2af5c8e""]","[""向心力是维持圆周运动所需的指向圆心的合力""]",[0.81],,,向心力是维持圆周运动所需的指向圆心的合力,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-18,808a847c364b4f918d4b4c4cd7229efb,angular velocity,角速度,[],chinese-mechanics,True,True,True,"[""62b83b11-4048-4827-bea1-3c3f4518ea1e"",""bcbd9280-1c14-4cab-807c-f186acb3999c"",""d825824f-49f7-4368-90b4-09b60005b9ff"",""b8cc85b2-e92a-4c00-93a3-0214db622642""]",1,"[""2881a0442120266daf454871""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""62b83b11-4048-4827-bea1-3c3f4518ea1e""]","[""角速度是角位置随时间变化的率""]",[0.81],,,角速度是角位置随时间变化的率,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-19,730b8a11b2ed4aef873ee92b9e386732,angular momentum,角动量,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""d825824f-49f7-4368-90b4-09b60005b9ff"",""62b83b11-4048-4827-bea1-3c3f4518ea1e"",""81913ef7-de44-4a44-9786-96c3d5230057"",""3c4bd66f-66fa-49c9-973a-b7f7cd80aa8a""]",2,"[""88980240bd8be9bca118fbe3""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""d825824f-49f7-4368-90b4-09b60005b9ff""]","[""角动量描述转动运动""]",[0.81],,,角动量描述转动运动,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-20,604e1e36182d4b1090578637a467529d,torque,力矩,[],chinese-mechanics,True,True,True,"[""bcbd9280-1c14-4cab-807c-f186acb3999c"",""dd9b9e6f-c9ec-405b-8e84-f45a2007c549""]",2,"[""b1e8715b1e59ad5dd953eff5""]","[""beba57f0-d986-4418-a0a6-e3146f5a8af1""]","[""dd9b9e6f-c9ec-405b-8e84-f45a2007c549""]","[""力矩是力使物体绕轴转动的效应""]",[0.81],,,力矩是力使物体绕轴转动的效应,incorrect,evidence_insufficient,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-21,8244f55cad9e4c57a8269d2b18f09c54,electric charge,电荷,[],chinese-electricity,True,True,True,"[""bfb5c14d-ced3-4856-bd77-6c313c381fb9"",""9ba23379-bd38-4d2f-8702-f5ebc38e818c"",""6092d509-0d73-4805-a22a-e293255797cd"",""e17610d1-e55b-40fd-b032-aa0a72dbaf9b"",""9fa724d9-67c6-4ed0-b298-b5f28c1b519d""]",2,"[""a76c83aa473dbd1fe8e8df7a""]","[""316e66bb-29a8-42d1-a4d5-1a6c541e2291""]","[""9ba23379-bd38-4d2f-8702-f5ebc38e818c""]","[""电荷是物质产生电相互作用的属性""]",[0.81],,,电荷是物质产生电相互作用的属性,incorrect,prepared,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-22,91b872069ca04560b3714f6ea0ec0271,electric field,电场,[],chinese-electricity,True,True,True,"[""bfb5c14d-ced3-4856-bd77-6c313c381fb9"",""e17610d1-e55b-40fd-b032-aa0a72dbaf9b"",""6092d509-0d73-4805-a22a-e293255797cd"",""9ba23379-bd38-4d2f-8702-f5ebc38e818c"",""9fa724d9-67c6-4ed0-b298-b5f28c1b519d""]",2,"[""addea66ecc2abad470429083""]","[""316e66bb-29a8-42d1-a4d5-1a6c541e2291""]","[""e17610d1-e55b-40fd-b032-aa0a72dbaf9b""]","[""电场表示单位正试探电荷在某点受到的力""]",[0.81],,,电场表示单位正试探电荷在某点受到的力,incorrect,prepared,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-23,e17a7b2c11ad43baad2d897ec762e206,electric potential,电势,[],chinese-electricity,True,True,True,"[""bfb5c14d-ced3-4856-bd77-6c313c381fb9"",""6092d509-0d73-4805-a22a-e293255797cd"",""651339ac-5afe-4e4e-b27d-dbe9cb749562"",""e17610d1-e55b-40fd-b032-aa0a72dbaf9b"",""9ba23379-bd38-4d2f-8702-f5ebc38e818c"",""9fa724d9-67c6-4ed0-b298-b5f28c1b519d"",""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c""]",2,"[""90aa4fa634c2c3e1b5a70c54""]","[""316e66bb-29a8-42d1-a4d5-1a6c541e2291""]","[""6092d509-0d73-4805-a22a-e293255797cd""]","[""电势是单位电荷在某点具有的电势能""]",[0.81],,,电势是单位电荷在某点具有的电势能,incorrect,prepared,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-24,a00a176864f24539865e54c68220860e,potential difference,电势差,[],chinese-electricity,True,True,True,"[""bfb5c14d-ced3-4856-bd77-6c313c381fb9"",""651339ac-5afe-4e4e-b27d-dbe9cb749562"",""6092d509-0d73-4805-a22a-e293255797cd"",""4731a2f5-8d7e-4a4c-827d-9cbe19e51a2c""]",2,"[""4934b7d2e9635339c6fad52a""]","[""316e66bb-29a8-42d1-a4d5-1a6c541e2291""]","[""651339ac-5afe-4e4e-b27d-dbe9cb749562""]","[""电势差是两点电势的差值""]",[0.81],,,电势差是两点电势的差值,incorrect,prepared,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
physics-25,867870db9e514ed0be7c3dbb46365e38,capacitance,电容,[],chinese-electricity,True,True,True,"[""efd628e1-8330-4f77-bba6-48fcc1157cbd""]",1,"[""5a65ddec6f0ed7ceefca2073""]","[""316e66bb-29a8-42d1-a4d5-1a6c541e2291""]","[""efd628e1-8330-4f77-bba6-48fcc1157cbd""]","[""电容是单位电势差下储存的电荷量""]",[0.81],,,电容是单位电势差下储存的电荷量,incorrect,prepared,chinese_candidate_boundary,CHINESE_CANDIDATE_BOUNDARY_DEFECT,"[""definition_predicate_or_explanation_in_candidate"",""evidence_retrieval_can_succeed_for_wrong_boundary_candidate""]",True
